t,drone,x,y,z,r_sep,r_nei,k_sep,k_ali,k_coh,k_goal,vmax,amax,altitude,jitter
0.000,0,0.0017,1.7000,0.0004,0.800,2.688,1.130,1.073,0.752,1.157,6.169,12.354,1.744,0.275
0.200,0,0.1670,1.7140,0.0389,0.905,4.191,2.173,1.655,1.167,1.612,7.521,15.180,2.097,0.477
0.400,0,0.6400,1.7854,0.1679,0.952,4.866,2.641,1.916,1.354,1.817,8.128,16.450,2.256,0.568
0.600,0,1.4541,1.9467,0.4266,0.973,5.169,2.851,2.034,1.438,1.909,8.401,17.020,2.327,0.609
0.800,0,2.5898,2.2117,0.8430,0.982,5.306,2.946,2.087,1.476,1.950,8.524,17.277,2.359,0.627
1.000,0,3.8743,2.5417,1.4029,0.987,5.367,2.988,2.110,1.493,1.968,8.579,17.392,2.373,0.635
1.200,0,5.0000,2.8663,1.9702,0.988,5.394,3.007,2.121,1.500,1.977,8.604,17.444,2.380,0.639
1.400,0,5.0000,3.1083,2.4403,0.989,5.407,3.016,2.126,1.504,1.981,8.615,17.467,2.383,0.641
1.600,0,5.0000,3.2064,2.7737,0.990,5.412,3.020,2.128,1.505,1.982,8.620,17.477,2.384,0.641
1.800,0,5.0000,3.1318,2.9551,1.056,4.896,3.391,2.058,1.421,1.844,8.383,16.612,2.253,0.546
2.000,0,4.9987,2.8861,2.9899,1.089,4.633,3.580,2.022,1.378,1.774,8.262,16.171,2.186,0.497
2.200,0,4.8104,2.5127,2.8956,1.104,4.515,3.665,2.006,1.359,1.742,8.208,15.973,2.156,0.475
2.400,0,4.2868,2.0763,2.6976,1.111,4.462,3.703,1.999,1.350,1.728,8.184,15.884,2.142,0.465
2.600,0,3.4453,1.6600,2.4298,1.114,4.438,3.721,1.996,1.346,1.722,8.173,15.844,2.136,0.460
2.800,0,2.3580,1.3461,2.1342,1.116,4.427,3.728,1.995,1.345,1.719,8.168,15.826,2.134,0.459
3.000,0,1.1167,1.1980,1.8711,1.116,4.422,3.732,1.994,1.344,1.718,8.166,15.818,2.132,0.458
3.200,0,-0.1616,1.2398,1.7331,1.117,4.420,3.733,1.994,1.343,1.717,8.165,15.815,2.132,0.457
3.400,0,-1.3114,1.4580,1.7804,1.117,4.419,3.734,1.993,1.343,1.717,8.164,15.813,2.132,0.457
3.600,0,-2.1956,1.7972,2.0021,1.118,4.419,3.735,1.993,1.343,1.716,8.164,15.812,2.131,0.457
3.800,0,-2.7584,2.1776,2.3522,1.148,4.418,3.780,1.993,1.327,1.690,8.164,15.812,2.131,0.457
4.000,0,-2.9896,2.5341,2.7765,1.242,4.418,3.916,1.993,1.278,1.609,8.164,15.812,2.131,0.457
4.200,0,-2.9039,2.8189,3.2289,1.393,4.418,4.135,1.993,1.199,1.480,8.164,15.812,2.131,0.457
4.400,0,-2.5365,3.0044,3.6658,1.574,4.418,4.399,1.993,1.104,1.324,8.164,15.812,2.131,0.457
4.600,0,-1.9331,3.0814,4.0467,1.753,4.418,4.658,1.993,1.011,1.171,8.164,15.812,2.131,0.457
4.800,0,-1.1426,3.0495,4.3395,1.889,4.418,4.857,1.993,0.940,1.054,8.164,15.812,2.131,0.457
5.000,0,-0.1921,2.9065,4.4941,1.451,4.387,4.202,2.019,1.188,1.443,8.304,15.809,2.153,0.451
5.200,0,0.8798,2.6439,4.4113,1.255,4.372,3.908,2.030,1.300,1.619,8.367,15.808,2.163,0.448
5.400,0,1.9678,2.2930,4.0178,1.166,4.366,3.776,2.036,1.350,1.697,8.395,15.808,2.167,0.447
5.600,0,2.9289,1.9242,3.3092,1.126,4.363,3.717,2.038,1.372,1.733,8.408,15.808,2.169,0.447
5.800,0,3.6437,1.6125,2.3600,1.109,4.362,3.690,2.039,1.383,1.749,8.414,15.808,2.170,0.447
6.000,0,4.0459,1.4091,1.2859,1.101,4.361,3.678,2.039,1.387,1.756,8.416,15.808,2.171,0.446
6.200,0,4.1174,1.3331,0.2048,1.097,4.361,3.673,2.040,1.389,1.759,8.417,15.808,2.171,0.446
6.400,0,3.8647,1.3829,-0.7863,1.095,4.361,3.670,2.040,1.390,1.760,8.418,15.808,2.171,0.446
6.600,0,3.3186,1.5408,-1.6052,1.095,4.361,3.669,2.040,1.390,1.761,8.418,15.808,2.171,0.446
6.800,0,2.5189,1.7833,-2.1834,1.099,4.361,3.675,2.040,1.388,1.757,8.418,15.808,2.171,0.446
7.000,0,1.5205,2.0792,-2.4713,1.149,4.361,3.747,2.040,1.361,1.713,8.418,15.808,2.171,0.446
7.200,0,0.3834,2.3928,-2.4385,1.266,4.361,3.914,2.040,1.298,1.610,8.418,15.808,2.171,0.446
7.400,0,-0.8266,2.6910,-2.0883,1.434,4.361,4.154,2.040,1.207,1.462,8.418,15.808,2.171,0.446
7.600,0,-2.0433,2.9473,-1.4480,1.623,4.361,4.422,2.040,1.105,1.296,8.418,15.808,2.171,0.446
7.800,0,-3.2135,3.1430,-0.5564,1.792,4.361,4.664,2.040,1.013,1.147,8.418,15.808,2.171,0.446
8.000,0,-4.2902,3.2686,0.5415,1.647,4.370,4.457,2.039,1.091,1.274,8.408,15.822,2.170,0.448
8.200,0,-5.0000,3.3035,1.8257,1.344,4.383,4.022,2.037,1.253,1.541,8.394,15.842,2.170,0.451
8.400,0,-5.0000,3.2215,3.2655,1.207,4.389,3.827,2.036,1.326,1.661,8.388,15.850,2.169,0.452
8.600,0,-5.0000,3.0103,4.7855,1.146,4.392,3.740,2.036,1.359,1.715,8.386,15.854,2.169,0.452
8.800,0,-4.9754,2.6832,5.0000,1.119,4.393,3.700,2.036,1.374,1.740,8.384,15.856,2.169,0.453
9.000,0,-4.6743,2.2699,5.0000,1.106,4.393,3.683,2.036,1.381,1.750,8.384,15.857,2.169,0.453
9.200,0,-4.0301,1.8228,5.0000,1.101,4.393,3.675,2.036,1.384,1.755,8.383,15.857,2.169,0.453
9.400,0,-3.0794,1.4262,5.0000,1.098,4.394,3.671,2.036,1.385,1.758,8.383,15.858,2.169,0.453
9.600,0,-1.9534,1.1721,5.0000,1.097,4.394,3.669,2.036,1.385,1.758,8.383,15.858,2.169,0.453
9.800,0,-0.8340,1.1100,5.0000,1.097,4.394,3.669,2.036,1.386,1.759,8.383,15.858,2.169,0.453
10.000,0,0.1365,1.2161,5.0000,1.115,4.394,3.696,2.036,1.376,1.742,8.383,15.858,2.169,0.453
10.200,0,0.8895,1.4408,5.0000,1.195,4.394,3.810,2.036,1.333,1.672,8.383,15.858,2.169,0.453
10.400,0,1.4065,1.7406,4.9228,1.338,4.394,4.013,2.036,1.256,1.546,8.383,15.858,2.169,0.453
10.600,0,1.6881,2.0795,4.6432,1.520,4.394,4.272,2.036,1.158,1.387,8.383,15.858,2.169,0.453
10.800,0,1.7540,2.4280,4.1797,1.704,4.394,4.536,2.036,1.058,1.224,8.383,15.858,2.169,0.453
11.000,0,1.6258,2.7653,3.5534,1.852,4.394,4.746,2.036,0.979,1.094,8.383,15.858,2.169,0.453
11.200,0,1.3046,3.0717,2.7758,1.470,4.373,4.218,2.019,1.175,1.410,8.270,15.747,2.153,0.447
11.400,0,0.7426,3.3123,1.8435,1.272,4.363,3.943,2.010,1.278,1.575,8.212,15.690,2.145,0.444
11.600,0,-0.0916,3.4478,0.7746,1.182,4.358,3.819,2.007,1.324,1.649,8.187,15.665,2.141,0.443
11.800,0,-1.2111,3.4373,-0.3897,1.142,4.356,3.763,2.005,1.345,1.682,8.175,15.654,2.139,0.442
12.000,0,-2.6132,3.2376,-1.5687,1.124,4.355,3.738,2.004,1.354,1.697,8.170,15.648,2.138,0.442
12.200,0,-4.2267,2.8347,-2.6108,1.116,4.355,3.727,2.004,1.359,1.704,8.167,15.646,2.138,0.442
12.400,0,-5.0000,2.3056,-3.3625,1.112,4.355,3.722,2.004,1.360,1.707,8.166,15.645,2.138,0.442
12.600,0,-5.0000,1.7582,-3.7783,1.111,4.354,3.720,2.004,1.361,1.708,8.166,15.645,2.138,0.442
12.800,0,-5.0000,1.2832,-3.8659,1.110,4.354,3.719,2.004,1.362,1.709,8.166,15.644,2.138,0.442
13.000,0,-5.0000,0.9484,-3.6516,1.112,4.354,3.722,2.003,1.360,1.707,8.166,15.644,2.138,0.442
13.200,0,-5.0000,0.7997,-3.1743,1.155,4.354,3.784,2.003,1.338,1.670,8.166,15.644,2.138,0.442
13.400,0,-5.0000,0.8580,-2.4839,1.265,4.354,3.943,2.003,1.280,1.576,8.166,15.644,2.138,0.442
13.600,0,-5.0000,1.1134,-1.6538,1.429,4.354,4.179,2.003,1.193,1.436,8.166,15.644,2.138,0.442
13.800,0,-5.0000,1.5165,-0.7719,1.616,4.354,4.451,2.003,1.093,1.276,8.166,15.644,2.138,0.442
14.000,0,-5.0000,1.9916,0.0802,1.790,4.354,4.702,2.003,1.001,1.128,8.166,15.644,2.138,0.442
14.200,0,-5.0000,2.4579,0.8328,1.665,4.642,4.386,2.058,1.100,1.298,8.380,16.272,2.216,0.499
14.400,0,-4.9788,2.4595,0.8306,1.282,5.159,3.591,2.155,1.362,1.739,8.766,17.403,2.356,0.601
14.600,0,-4.9044,2.4552,0.8058,1.110,5.391,3.234,2.199,1.480,1.937,8.940,17.911,2.419,0.647
14.800,0,-4.5851,2.4436,0.7041,1.032,5.496,3.073,2.219,1.533,2.026,9.018,18.140,2.447,0.668
15.000,0,-3.8727,2.4297,0.4837,0.997,5.543,3.001,2.227,1.556,2.066,9.053,18.242,2.460,0.677
15.200,0,-2.7924,2.4300,0.1306,0.982,5.564,2.969,2.231,1.567,2.084,9.068,18.288,2.466,0.681
15.400,0,-1.4938,2.4576,-0.3297,0.975,5.573,2.954,2.233,1.572,2.093,9.075,18.309,2.468,0.683
15.600,0,-0.2093,2.5165,-0.9184,0.972,5.578,2.948,2.234,1.574,2.096,9.079,18.318,2.470,0.684
15.800,0,0.7733,2.5976,-1.5939,0.970,5.580,2.945,2.234,1.575,2.098,9.080,18.322,2.470,0.684
16.000,0,1.3280,2.6837,-2.2792,0.970,5.581,2.943,2.234,1.575,2.099,9.081,18.324,2.470,0.685
16.200,0,1.4535,2.7604,-2.9230,0.984,5.581,2.959,2.235,1.567,2.084,9.081,18.325,2.470,0.685
16.400,0,1.1667,2.8140,-3.4794,1.056,5.581,3.041,2.235,1.523,2.008,9.081,18.326,2.470,0.685
16.600,0,0.4918,2.8358,-3.9096,1.192,5.581,3.197,2.235,1.439,1.865,9.081,18.326,2.470,0.685
16.800,0,-0.5249,2.8182,-4.1749,1.371,5.581,3.402,2.235,1.330,1.678,9.081,18.326,2.471,0.685
17.000,0,-1.8094,2.7541,-4.2366,1.557,5.581,3.615,2.235,1.215,1.482,9.081,18.326,2.471,0.685
17.200,0,-3.2256,2.6475,-4.0789,1.711,5.581,3.791,2.235,1.121,1.320,9.081,18.326,2.471,0.685
17.400,0,-4.5966,2.5100,-3.7058,1.451,5.027,3.763,2.140,1.228,1.493,8.733,17.153,2.329,0.576
17.600,0,-5.0000,2.3507,-3.1197,1.258,4.656,3.723,2.076,1.311,1.628,8.500,16.367,2.234,0.503
17.800,0,-5.0000,2.1828,-2.3762,1.171,4.489,3.705,2.048,1.348,1.689,8.395,16.014,2.191,0.470
18.000,0,-5.0000,2.0219,-1.5529,1.132,4.414,3.697,2.035,1.365,1.716,8.348,15.855,2.172,0.455
18.200,0,-5.0000,1.8847,-0.7491,1.115,4.380,3.693,2.029,1.373,1.728,8.327,15.784,2.164,0.449
18.400,0,-4.8391,1.7842,-0.0422,1.107,4.365,3.691,2.026,1.376,1.734,8.317,15.752,2.160,0.446
18.600,0,-4.3679,1.7252,0.5045,1.103,4.358,3.691,2.025,1.378,1.736,8.313,15.738,2.158,0.444
18.800,0,-3.6184,1.7093,0.8404,1.102,4.355,3.690,2.025,1.378,1.738,8.311,15.731,2.157,0.444
19.000,0,-2.6246,1.7356,0.9235,1.101,4.354,3.690,2.025,1.379,1.738,8.310,15.728,2.157,0.444
19.200,0,-1.4380,1.8010,0.7149,1.102,4.353,3.692,2.024,1.378,1.737,8.310,15.727,2.157,0.443
19.400,0,-0.1242,1.8992,0.1815,1.138,4.353,3.744,2.024,1.359,1.706,8.309,15.726,2.157,0.443
19.600,0,1.2366,2.0176,-0.6892,1.240,4.353,3.890,2.024,1.304,1.617,8.309,15.726,2.157,0.443
19.800,0,2.5329,2.1394,-1.8772,1.399,4.353,4.118,2.024,1.219,1.479,8.309,15.726,2.157,0.443
20.000,0,3.6529,2.2480,-3.3022,1.586,4.353,4.387,2.024,1.119,1.316,8.309,15.726,2.157,0.443
20.200,0,4.5381,2.3337,-4.8433,1.763,4.353,4.641,2.024,1.024,1.162,8.309,15.726,2.157,0.443
20.400,0,5.0000,2.3963,-5.0000,1.733,4.360,4.609,2.008,1.028,1.176,8.204,15.699,2.145,0.443
20.600,0,5.0000,2.4302,-5.0000,1.406,4.377,4.166,1.966,1.173,1.428,7.943,15.632,2.117,0.444
20.800,0,4.9976,2.4246,-5.0000,1.259,4.384,3.967,1.948,1.239,1.542,7.826,15.601,2.105,0.444
21.000,0,4.8019,2.3750,-5.0000,1.193,4.388,3.878,1.940,1.268,1.593,7.773,15.588,2.099,0.444
21.200,0,4.2874,2.2827,-5.0000,1.163,4.389,3.838,1.936,1.281,1.616,7.750,15.582,2.097,0.444
21.400,0,3.4573,2.1550,-5.0000,1.150,4.390,3.819,1.934,1.287,1.626,7.739,15.579,2.096,0.444
21.600,0,2.3688,2.0135,-5.0000,1.144,4.390,3.811,1.933,1.290,1.631,7.734,15.578,2.095,0.444
21.800,0,1.1726,1.8912,-5.0000,1.141,4.390,3.808,1.933,1.291,1.633,7.732,15.577,2.095,0.444
22.000,0,0.0570,1.8169,-5.0000,1.140,4.390,3.806,1.933,1.292,1.634,7.731,15.577,2.095,0.444
22.200,0,-0.8528,1.7977,-5.0000,1.139,4.390,3.805,1.933,1.292,1.634,7.731,15.577,2.095,0.444
22.400,0,-1.5152,1.8253,-5.0000,1.147,4.391,3.817,1.933,1.288,1.628,7.730,15.577,2.095,0.444
22.600,0,-1.9173,1.8892,-5.0000,1.206,4.391,3.904,1.933,1.258,1.580,7.730,15.577,2.095,0.444
22.800,0,-2.0668,1.9795,-4.8942,1.330,4.391,4.088,1.933,1.196,1.478,7.730,15.577,2.095,0.444
23.000,0,-1.9844,2.0866,-4.6056,1.502,4.391,4.342,1.933,1.110,1.338,7.730,15.577,2.095,0.444
23.200,0,-1.6903,2.2008,-4.1456,1.689,4.391,4.618,1.933,1.016,1.185,7.730,15.577,2.095,0.444
23.400,0,-1.2079,2.3160,-3.5297,1.852,4.391,4.861,1.933,0.934,1.051,7.730,15.577,2.095,0.444
23.600,0,-0.5546,2.4233,-2.7743,1.600,4.420,4.449,1.982,1.101,1.294,8.014,15.681,2.118,0.454
23.800,0,0.2935,2.5039,-1.8380,1.318,4.448,3.997,2.028,1.281,1.557,8.276,15.777,2.140,0.463
24.000,0,1.3592,2.5223,-0.6763,1.191,4.461,3.794,2.049,1.361,1.676,8.394,15.820,2.150,0.468
24.200,0,2.5903,2.4450,0.6647,1.134,4.466,3.703,2.058,1.398,1.729,8.447,15.839,2.155,0.470
24.400,0,3.8668,2.2785,1.9828,1.109,4.469,3.662,2.062,1.414,1.753,8.471,15.848,2.157,0.470
24.600,0,5.0000,2.0592,3.0543,1.097,4.470,3.643,2.064,1.421,1.763,8.482,15.852,2.158,0.471
24.800,0,5.0000,1.8350,3.8225,1.092,4.470,3.635,2.065,1.425,1.768,8.486,15.853,2.158,0.471
25.000,0,5.0000,1.6387,4.2698,1.090,4.471,3.631,2.065,1.426,1.770,8.489,15.854,2.158,0.471
25.200,0,5.0000,1.4929,4.3994,1.089,4.471,3.629,2.065,1.427,1.771,8.489,15.855,2.158,0.471
25.400,0,5.0000,1.4152,4.2073,1.089,4.471,3.629,2.065,1.427,1.772,8.490,15.855,2.158,0.471
25.600,0,5.0000,1.4181,3.7068,1.112,4.471,3.662,2.065,1.414,1.751,8.490,15.855,2.158,0.471
25.800,0,5.0000,1.5086,2.9159,1.198,4.471,3.784,2.065,1.366,1.674,8.490,15.855,2.158,0.471
26.000,0,4.9235,1.6862,1.8698,1.346,4.471,3.992,2.065,1.284,1.543,8.490,15.855,2.158,0.471
26.200,0,4.6114,1.9372,0.6319,1.530,4.471,4.251,2.065,1.182,1.381,8.490,15.855,2.158,0.471
26.400,0,4.0392,2.2337,-0.6942,1.713,4.471,4.510,2.065,1.080,1.219,8.490,15.855,2.158,0.471
26.600,0,3.2383,2.5341,-1.9816,1.854,4.471,4.710,2.065,1.002,1.093,8.490,15.855,2.158,0.471
26.800,0,2.3127,2.7970,-3.1073,1.622,4.677,4.664,1.559,0.666,1.058,5.612,16.295,2.023,0.471
27.000,0,1.3628,2.9993,-4.0282,1.518,4.770,4.644,1.332,0.515,1.042,4.319,16.493,1.962,0.471
27.200,0,1.0658,3.0461,-4.2614,1.471,4.812,4.635,1.230,0.447,1.034,3.738,16.581,1.935,0.471
27.400,0,1.0676,3.0385,-4.2337,1.449,4.831,4.630,1.184,0.417,1.031,3.477,16.621,1.923,0.471
27.600,0,1.0784,3.0082,-4.1215,1.440,4.839,4.629,1.163,0.403,1.030,3.359,16.639,1.917,0.471
27.800,0,1.1085,2.9262,-3.8203,1.436,4.843,4.628,1.154,0.397,1.029,3.307,16.647,1.915,0.471
28.000,0,1.1564,2.7919,-3.3207,1.434,4.845,4.627,1.150,0.394,1.029,3.283,16.651,1.914,0.471
28.200,0,1.2221,2.6071,-2.6190,1.433,4.845,4.627,1.148,0.393,1.029,3.272,16.653,1.913,0.471
28.400,0,1.3007,2.3773,-1.7123,1.433,4.846,4.627,1.147,0.392,1.029,3.267,16.653,1.913,0.471
28.600,0,1.3886,2.1105,-0.6007,1.437,4.846,4.638,1.147,0.391,1.026,3.265,16.654,1.913,0.471
28.800,0,1.4807,1.8292,0.6635,1.484,4.846,4.736,1.147,0.383,0.998,3.264,16.654,1.913,0.471
29.000,0,1.5573,1.5802,1.9428,1.587,4.846,4.954,1.147,0.364,0.935,3.264,16.654,1.913,0.471
29.200,0,1.6039,1.3734,3.2308,1.734,4.846,5.264,1.147,0.338,0.847,3.264,16.654,1.913,0.471
29.400,0,1.6254,1.2130,4.5058,1.895,4.846,5.604,1.146,0.309,0.749,3.264,16.654,1.913,0.471
29.600,0,1.6399,1.1082,5.0000,2.038,4.846,5.904,1.146,0.284,0.664,3.264,16.654,1.913,0.471
29.800,0,1.6373,1.0679,5.0000,1.810,4.894,5.369,1.207,0.386,0.834,3.481,16.778,1.966,0.479
30.000,0,1.5810,1.1162,5.0000,1.557,4.938,4.785,1.262,0.489,1.018,3.683,16.892,2.015,0.487
30.200,0,1.4511,1.2664,5.0000,1.444,4.958,4.523,1.287,0.535,1.100,3.773,16.944,2.037,0.491
30.400,0,1.2444,1.5141,5.0000,1.393,4.967,4.405,1.298,0.555,1.137,3.814,16.967,2.047,0.493
30.600,0,0.9611,1.8381,5.0000,1.370,4.971,4.352,1.303,0.565,1.154,3.832,16.977,2.052,0.493
30.800,0,0.6190,2.2045,5.0000,1.360,4.973,4.328,1.306,0.569,1.161,3.841,16.982,2.054,0.494
31.000,0,0.2377,2.5692,4.9594,1.355,4.974,4.317,1.307,0.571,1.165,3.844,16.984,2.055,0.494
31.200,0,-0.1601,2.8827,4.7077,1.353,4.974,4.313,1.307,0.572,1.166,3.846,16.985,2.055,0.494
31.400,0,-0.5506,3.0998,4.2421,1.352,4.974,4.310,1.307,0.572,1.167,3.847,16.985,2.055,0.494
31.600,0,-0.9055,3.1828,3.5918,1.352,4.975,4.310,1.307,0.572,1.167,3.847,16.986,2.055,0.494
31.800,0,-1.1928,3.1160,2.8178,1.370,4.975,4.343,1.307,0.568,1.156,3.847,16.986,2.055,0.494
32.000,0,-1.4019,2.9097,2.0015,1.446,4.975,4.478,1.308,0.550,1.108,3.847,16.986,2.055,0.494
32.200,0,-1.5502,2.5937,1.2230,1.581,4.975,4.717,1.308,0.518,1.025,3.847,16.986,2.055,0.494
32.400,0,-1.6539,2.2156,0.5330,1.751,4.975,5.019,1.308,0.478,0.920,3.847,16.986,2.055,0.494
32.600,0,-1.7167,1.8230,-0.0395,1.925,4.975,5.327,1.308,0.437,0.812,3.847,16.986,2.055,0.494
32.800,0,-1.7465,1.4562,-0.4718,2.063,4.975,5.574,1.308,0.404,0.727,3.847,16.986,2.055,0.494
33.000,0,-1.7513,1.1423,-0.7577,1.718,4.933,4.959,1.324,0.501,0.949,3.949,16.933,2.063,0.487
33.200,0,-1.7255,0.9096,-0.8689,1.508,4.909,4.585,1.333,0.560,1.084,4.009,16.903,2.068,0.482
33.400,0,-1.6675,0.7811,-0.7942,1.414,4.898,4.416,1.337,0.586,1.145,4.035,16.889,2.070,0.480
33.600,0,-1.5797,0.7738,-0.5286,1.371,4.894,4.341,1.339,0.598,1.172,4.047,16.883,2.071,0.479
33.800,0,-1.4715,0.8973,-0.0716,1.352,4.891,4.307,1.340,0.604,1.184,4.052,16.880,2.072,0.479
34.000,0,-1.3409,1.1583,0.5758,1.344,4.890,4.291,1.340,0.606,1.190,4.055,16.879,2.072,0.479
34.200,0,-1.2017,1.5363,1.3834,1.340,4.890,4.285,1.340,0.607,1.192,4.056,16.878,2.072,0.479
34.400,0,-1.0757,1.9769,2.2715,1.338,4.890,4.281,1.340,0.608,1.193,4.056,16.878,2.072,0.479
34.600,0,-0.9472,2.4148,3.1444,1.337,4.890,4.280,1.340,0.608,1.194,4.057,16.878,2.072,0.479
34.800,0,-0.8122,2.7866,3.9163,1.339,4.890,4.284,1.340,0.607,1.193,4.057,16.878,2.072,0.479
35.000,0,-0.6929,3.0387,4.5165,1.379,4.890,4.353,1.340,0.597,1.168,4.057,16.878,2.072,0.479
35.200,0,-0.6011,3.1617,4.9256,1.483,4.890,4.533,1.340,0.572,1.103,4.057,16.878,2.072,0.479
35.400,0,-0.5433,3.1687,5.0000,1.640,4.890,4.805,1.340,0.533,1.006,4.057,16.878,2.072,0.479
35.600,0,-0.5188,3.0744,4.9967,1.820,4.890,5.117,1.340,0.489,0.894,4.057,16.878,2.072,0.479
35.800,0,-0.5304,2.9001,4.8864,1.987,4.890,5.407,1.340,0.448,0.790,4.057,16.878,2.072,0.479
36.000,0,-0.5775,2.6650,4.6309,1.899,4.908,5.249,1.343,0.472,0.847,4.064,16.908,2.073,0.483
36.200,0,-0.6850,2.3823,4.2193,1.588,4.942,4.701,1.347,0.553,1.045,4.078,16.961,2.074,0.490
36.400,0,-0.8856,2.0716,3.6200,1.448,4.957,4.455,1.349,0.589,1.134,4.084,16.986,2.075,0.493
36.600,0,-1.2014,1.7735,2.8346,1.385,4.964,4.344,1.350,0.605,1.174,4.087,16.996,2.075,0.495
36.800,0,-1.6293,1.5330,1.9161,1.357,4.967,4.294,1.350,0.613,1.192,4.088,17.001,2.075,0.495
37.000,0,-2.1561,1.3893,0.9337,1.344,4.969,4.272,1.351,0.616,1.201,4.088,17.003,2.075,0.496
37.200,0,-2.7732,1.3674,-0.0286,1.338,4.969,4.262,1.351,0.617,1.204,4.089,17.004,2.075,0.496
37.400,0,-3.4495,1.4717,-0.8709,1.336,4.969,4.257,1.351,0.618,1.206,4.089,17.005,2.075,0.496
37.600,0,-4.1328,1.6862,-1.5187,1.335,4.970,4.255,1.351,0.618,1.207,4.089,17.005,2.075,0.496
37.800,0,-4.7713,1.9726,-1.9400,1.334,4.970,4.255,1.351,0.619,1.207,4.089,17.005,2.075,0.496
38.000,0,-5.0000,2.2865,-2.1309,1.342,4.970,4.268,1.351,0.617,1.202,4.089,17.005,2.075,0.496
38.200,0,-5.0000,2.5875,-2.0940,1.400,4.970,4.367,1.351,0.602,1.166,4.089,17.005,2.075,0.496
38.400,0,-5.0000,2.8363,-1.8427,1.519,4.970,4.573,1.351,0.572,1.091,4.089,17.005,2.075,0.496
38.600,0,-5.0000,2.9992,-1.4086,1.684,4.970,4.855,1.351,0.531,0.988,4.089,17.005,2.075,0.496
38.800,0,-5.0000,3.0562,-0.8427,1.863,4.970,5.163,1.351,0.486,0.875,4.089,17.005,2.075,0.496
39.000,0,-5.0000,3.0089,-0.2045,2.020,4.970,5.433,1.351,0.447,0.777,4.089,17.005,2.075,0.496
39.200,0,-4.9966,2.8705,0.4491,1.837,4.901,5.139,1.335,0.479,0.877,4.027,16.874,2.068,0.481
39.400,0,-4.9018,2.6459,1.0522,1.567,4.825,4.697,1.317,0.530,1.029,3.957,16.728,2.060,0.464
39.600,0,-4.6636,2.3483,1.5349,1.446,4.790,4.499,1.309,0.554,1.098,3.926,16.662,2.056,0.456
39.800,0,-4.2953,2.0158,1.8427,1.392,4.775,4.410,1.306,0.564,1.129,3.912,16.632,2.055,0.453
40.000,0,-3.8248,1.6870,1.9495,1.367,4.768,4.370,1.304,0.569,1.142,3.905,16.619,2.054,0.451
40.200,0,-3.2818,1.3981,1.8425,1.356,4.765,4.352,1.303,0.571,1.149,3.903,16.613,2.054,0.450
40.400,0,-2.7031,1.1774,1.5200,1.351,4.763,4.344,1.303,0.572,1.151,3.901,16.610,2.053,0.450
40.600,0,-2.1232,1.0454,0.9856,1.349,4.763,4.340,1.303,0.572,1.153,3.901,16.609,2.053,0.450
40.800,0,-1.5828,1.0160,0.2448,1.348,4.762,4.339,1.303,0.572,1.153,3.901,16.609,2.053,0.450
41.000,0,-1.1236,1.0988,-0.6800,1.348,4.762,4.338,1.303,0.572,1.153,3.900,16.608,2.053,0.450
41.200,0,-0.9832,1.1658,-1.0894,1.373,4.762,4.383,1.303,0.567,1.138,3.900,16.608,2.053,0.450
41.400,0,-0.9989,1.1788,-1.1076,1.459,4.762,4.536,1.303,0.546,1.086,3.900,16.608,2.053,0.450
41.600,0,-1.0575,1.2274,-1.1818,1.603,4.762,4.792,1.303,0.512,0.998,3.900,16.608,2.053,0.450
41.800,0,-1.2024,1.3566,-1.3898,1.779,4.762,5.106,1.303,0.471,0.891,3.900,16.608,2.053,0.450
42.000,0,-1.4092,1.5522,-1.7265,1.952,4.762,5.414,1.303,0.430,0.786,3.900,16.608,2.053,0.450
42.200,0,-1.6411,1.7865,-2.1653,2.026,4.766,5.546,1.304,0.414,0.741,3.903,16.618,2.054,0.451
42.400,0,-1.8647,2.0368,-2.6854,1.651,4.797,4.871,1.310,0.506,0.976,3.924,16.695,2.058,0.458
42.600,0,-2.0524,2.2779,-3.2592,1.483,4.812,4.568,1.313,0.548,1.082,3.933,16.730,2.060,0.461
42.800,0,-2.1795,2.4779,-3.8346,1.407,4.818,4.431,1.315,0.567,1.130,3.937,16.746,2.061,0.462
43.000,0,-2.2295,2.6103,-4.3649,1.373,4.821,4.370,1.315,0.575,1.151,3.939,16.753,2.061,0.463
43.200,0,-2.1885,2.6578,-4.8070,1.358,4.822,4.343,1.316,0.579,1.160,3.940,16.756,2.062,0.463
43.400,0,-2.0388,2.6159,-5.0000,1.351,4.823,4.330,1.316,0.581,1.165,3.940,16.757,2.062,0.463
43.600,0,-1.7725,2.4931,-5.0000,1.348,4.823,4.325,1.316,0.582,1.167,3.940,16.758,2.062,0.463
43.800,0,-1.3917,2.3109,-5.0000,1.346,4.823,4.322,1.316,0.582,1.168,3.940,16.758,2.062,0.463
44.000,0,-0.9069,2.0986,-4.9326,1.346,4.823,4.321,1.316,0.582,1.168,3.940,16.758,2.062,0.463
44.200,0,-0.3427,1.8899,-4.7436,1.352,4.823,4.331,1.316,0.581,1.164,3.940,16.758,2.062,0.463
44.400,0,0.2705,1.7175,-4.4526,1.404,4.823,4.424,1.316,0.568,1.132,3.940,16.758,2.062,0.463
44.600,0,0.8933,1.6075,-4.0899,1.520,4.823,4.629,1.316,0.541,1.061,3.940,16.758,2.062,0.463
