62.8000,0.74,1.03,0.10,0.0
63.0000,0.74,1.02,0.10,0.0
63.2000,0.74,0.99,0.11,0.0
63.4000,0.74,0.94,0.19,0.0
63.6000,0.74,0.87,0.26,0.0
63.8000,0.74,0.78,0.32,0.0
64.0000,0.74,0.67,0.38,0.0
64.2000,0.73,0.56,0.41,0.0
64.4000,0.72,0.46,0.43,0.0
64.6000,0.72,0.45,0.43,0.0
64.8000,0.71,0.52,0.43,0.0
65.0000,0.71,0.64,0.43,0.0
65.2000,0.71,0.80,0.42,0.0
65.4000,0.70,1.02,0.41,0.0
65.6000,0.68,1.29,0.40,0.0
65.8000,0.65,1.57,0.39,0.0
66.0000,0.61,1.80,0.37,0.0
66.2000,0.57,1.80,0.34,0.0
66.4000,0.54,1.80,0.31,0.0
66.6000,0.50,1.80,0.28,0.0
66.8000,0.48,1.80,0.25,0.0
67.0000,0.47,1.80,0.23,0.0
67.2000,0.46,1.80,0.21,0.0
67.4000,0.46,1.80,0.20,0.0
67.6000,0.46,1.80,0.19,0.0
67.8000,0.45,1.80,0.18,0.0
68.0000,0.45,1.80,0.18,0.0
68.2000,0.44,1.80,0.18,0.0
68.4000,0.44,1.80,0.18,0.0
68.6000,0.43,1.77,0.19,0.0
68.8000,0.42,1.65,0.20,0.0
69.0000,0.40,1.54,0.22,0.0
69.2000,0.39,1.43,0.24,0.0
69.4000,0.37,1.32,0.25,0.0
69.6000,0.35,1.21,0.28,0.0
69.8000,0.33,1.10,0.30,0.0
70.0000,0.30,0.99,0.33,0.0
70.2000,0.27,0.89,0.36,0.0
70.4000,0.23,0.78,0.39,0.0
70.6000,0.19,0.67,0.43,0.0
70.8000,0.13,0.57,0.48,0.0
71.0000,0.06,0.47,0.52,0.0
71.2000,-0.03,0.40,0.57,0.0
71.4000,-0.13,0.34,0.62,0.0
71.6000,-0.24,0.30,0.67,0.0
71.8000,-0.35,0.28,0.71,0.0
72.0000,-0.47,0.29,0.75,0.0
72.2000,-0.59,0.32,0.78,0.0
72.4000,-0.71,0.37,0.80,0.0
72.6000,-0.81,0.43,0.81,0.0
72.8000,-0.91,0.51,0.80,0.0
73.0000,-0.99,0.60,0.77,0.0
73.2000,-1.05,0.69,0.73,0.0
73.4000,-1.10,0.78,0.67,0.0
73.6000,-1.10,0.85,0.61,0.0
73.8000,-1.10,0.91,0.53,0.0
74.0000,-1.10,0.96,0.44,0.0
74.2000,-1.10,0.99,0.35,0.0
74.4000,-1.10,1.00,0.26,0.0
74.6000,-1.07,0.99,0.16,0.0
74.8000,-1.02,0.96,0.10,0.0
75.0000,-0.96,0.91,0.10,0.0
75.2000,-0.90,0.85,0.10,0.0
75.4000,-0.83,0.77,0.10,0.0
75.6000,-0.76,0.68,0.10,0.0
75.8000,-0.69,0.59,0.10,0.0
76.0000,-0.62,0.50,0.10,0.0
76.2000,-0.56,0.42,0.10,0.0
76.4000,-0.51,0.37,0.10,0.0
76.6000,-0.47,0.34,0.10,0.0
76.8000,-0.43,0.32,0.10,0.0
77.0000,-0.41,0.33,0.10,0.0
77.2000,-0.40,0.36,0.10,0.0
77.4000,-0.40,0.41,0.10,0.0
77.6000,-0.41,0.47,0.10,0.0
77.8000,-0.43,0.56,0.10,0.0
78.0000,-0.46,0.65,0.10,0.0
78.2000,-0.51,0.73,0.10,0.0
78.4000,-0.56,0.80,0.10,0.0
78.6000,-0.60,0.86,0.10,0.0
78.8000,-0.64,0.89,0.10,0.0
79.0000,-0.68,0.89,0.10,0.0
79.2000,-0.70,0.88,0.10,0.0
79.4000,-0.70,0.85,0.10,0.0
79.6000,-0.70,0.80,0.10,0.0
79.8000,-0.67,0.73,0.10,0.0
80.0000,-0.63,0.66,0.10,0.0
80.2000,-0.56,0.59,0.10,0.0
80.4000,-0.48,0.53,0.10,0.0
80.6000,-0.39,0.48,0.10,0.0
80.8000,-0.28,0.45,0.10,0.0
81.0000,-0.17,0.44,0.10,0.0
81.2000,-0.06,0.45,0.10,0.0
81.4000,0.05,0.48,0.10,0.0
81.6000,0.16,0.53,0.10,0.0
81.8000,0.24,0.60,0.10,0.0
82.0000,0.31,0.67,0.10,0.0
82.2000,0.36,0.74,0.10,0.0
82.4000,0.39,0.78,0.10,0.0
82.6000,0.40,0.80,0.10,0.0
82.8000,0.41,0.81,0.10,0.0
83.0000,0.41,0.79,0.10,0.0
83.2000,0.40,0.76,0.10,0.0
83.4000,0.38,0.71,0.10,0.0
